model	path	required	types	minimum	maximum	min_length	max_length	min_items	max_items	known_values
server_type	cpu_type	yes	string	-	-	-	-	-	-	shared|dedicated
server_type	deprecated	yes	boolean	-	-	-	-	-	-	-
server_type	deprecation	no	null|object	-	-	-	-	-	-	-
server_type	deprecation/announced	yes	string	-	-	-	-	-	-	-
server_type	deprecation/unavailable_after	yes	string	-	-	-	-	-	-	-
server_type	disk	yes	number	-	-	-	-	-	-	-
server_type	id	yes	integer	-	-	-	-	-	-	-
server_type	locations	yes	array	-	-	-	-	-	-	-
server_type	locations[]/available	yes	boolean	-	-	-	-	-	-	-
server_type	locations[]/deprecation	yes	null|object	-	-	-	-	-	-	-
server_type	locations[]/deprecation/announced	yes	string	-	-	-	-	-	-	-
server_type	locations[]/deprecation/unavailable_after	yes	string	-	-	-	-	-	-	-
server_type	locations[]/id	yes	integer	1	9007199254740991	-	-	-	-	-
server_type	locations[]/name	yes	string	-	-	-	-	-	-	-
server_type	locations[]/recommended	yes	boolean	-	-	-	-	-	-	-
server_type	memory	yes	number	-	-	-	-	-	-	-
server_type	name	yes	string	-	-	-	-	-	-	-
server_type	prices	yes	array	-	-	-	-	-	-	-
server_type	prices[]/included_traffic	yes	integer	-	-	-	-	-	-	-
server_type	prices[]/location	yes	string	-	-	-	-	-	-	-
server_type	prices[]/price_hourly	yes	object	-	-	-	-	-	-	-
server_type	prices[]/price_hourly/gross	yes	string	-	-	-	-	-	-	-
server_type	prices[]/price_hourly/net	yes	string	-	-	-	-	-	-	-
server_type	prices[]/price_monthly	yes	object	-	-	-	-	-	-	-
server_type	prices[]/price_monthly/gross	yes	string	-	-	-	-	-	-	-
server_type	prices[]/price_monthly/net	yes	string	-	-	-	-	-	-	-
server_type	prices[]/price_per_tb_traffic	yes	object	-	-	-	-	-	-	-
server_type	prices[]/price_per_tb_traffic/gross	yes	string	-	-	-	-	-	-	-
server_type	prices[]/price_per_tb_traffic/net	yes	string	-	-	-	-	-	-	-
server_type	storage_type	yes	string	-	-	-	-	-	-	local|network
volume	created	yes	string	-	-	-	-	-	-	-
volume	format	yes	null|string	-	-	-	-	-	-	-
volume	id	yes	integer	1	9007199254740991	-	-	-	-	-
volume	labels	yes	object	-	-	-	-	-	-	-
volume	linux_device	yes	string	-	-	-	-	-	-	-
volume	location	yes	object	-	-	-	-	-	-	-
volume	location/city	yes	string	-	-	-	-	-	-	-
volume	location/country	yes	string	-	-	-	-	-	-	-
volume	location/id	yes	integer	1	9007199254740991	-	-	-	-	-
volume	location/latitude	yes	number	-	-	-	-	-	-	-
volume	location/longitude	yes	number	-	-	-	-	-	-	-
volume	location/name	yes	string	-	-	-	-	-	-	-
volume	location/network_zone	yes	string	-	-	-	-	-	-	-
volume	name	yes	string	-	-	-	-	-	-	-
volume	protection	yes	object	-	-	-	-	-	-	-
volume	protection/delete	yes	boolean	-	-	-	-	-	-	-
volume	server	yes	integer|null	-	-	-	-	-	-	-
volume	size	yes	number	-	-	-	-	-	-	-
volume	status	yes	string	-	-	-	-	-	-	available|creating
