api	method	path	operation_id	in	name	required	schema_type	schema_format	items_type	style	explode	enum	constraints	fingerprint
cloud	DELETE	/firewalls/{id}	delete_firewall	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/firewalls/{id}	get_firewall	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	PUT	/firewalls/{id}	update_firewall	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/firewalls/{id}/actions	list_firewall_actions	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/firewalls/{id}/actions	list_firewall_actions	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/firewalls/{id}/actions	list_firewall_actions	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/firewalls/{id}/actions	list_firewall_actions	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""command"",""command:asc"",""command:desc"",""status"",""status:asc"",""status:desc"",""started"",""started:asc"",""started:desc"",""finished"",""finished:asc"",""finished:desc""]"	{}	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
cloud	GET	/firewalls/{id}/actions	list_firewall_actions	query	status	no	array		string	form	yes	"[""running"",""success"",""error""]"	{}	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
cloud	POST	/firewalls/{id}/actions/apply_to_resources	apply_firewall_to_resources	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	POST	/firewalls/{id}/actions/remove_from_resources	remove_firewall_from_resources	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	POST	/firewalls/{id}/actions/set_rules	set_firewall_rules	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/firewalls/{id}/actions/{action_id}	get_firewall_action	path	action_id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	293372cabd5bfe7cbac6682fa699c26b1ef93d7bbbde99b04737977e5d12e702
cloud	GET	/firewalls/{id}/actions/{action_id}	get_firewall_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/floating_ips	list_floating_ips	query	label_selector	no	string			form	yes	[]	{}	34409838baa32e96bfe5a5351a68ee5e9f443f670093da099bc1c087bea7b0db
cloud	GET	/floating_ips	list_floating_ips	query	name	no	string			form	yes	[]	{}	c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
cloud	GET	/floating_ips	list_floating_ips	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/floating_ips	list_floating_ips	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/floating_ips	list_floating_ips	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""created"",""created:asc"",""created:desc""]"	{}	d3d02fb182e976586b958edbe1974252068fa5656b30b5a0d357142fd7d3f6df
cloud	GET	/floating_ips/actions	list_floating_ips_actions	query	id	no	array		integer	form	yes	[]	{}	2d8b77ea2e81a340f3e827128f1d4484364ffd1af75bdb7c99ac15ed457769e9
cloud	GET	/floating_ips/actions	list_floating_ips_actions	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/floating_ips/actions	list_floating_ips_actions	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/floating_ips/actions	list_floating_ips_actions	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""command"",""command:asc"",""command:desc"",""status"",""status:asc"",""status:desc"",""started"",""started:asc"",""started:desc"",""finished"",""finished:asc"",""finished:desc""]"	{}	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
cloud	GET	/floating_ips/actions	list_floating_ips_actions	query	status	no	array		string	form	yes	"[""running"",""success"",""error""]"	{}	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
cloud	GET	/floating_ips/actions/{id}	get_floating_ips_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	DELETE	/floating_ips/{id}	delete_floating_ip	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/floating_ips/{id}	get_floating_ip	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	PUT	/floating_ips/{id}	update_floating_ip	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/floating_ips/{id}/actions	list_floating_ip_actions	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/floating_ips/{id}/actions	list_floating_ip_actions	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/floating_ips/{id}/actions	list_floating_ip_actions	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/floating_ips/{id}/actions	list_floating_ip_actions	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""command"",""command:asc"",""command:desc"",""status"",""status:asc"",""status:desc"",""started"",""started:asc"",""started:desc"",""finished"",""finished:asc"",""finished:desc""]"	{}	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
cloud	GET	/floating_ips/{id}/actions	list_floating_ip_actions	query	status	no	array		string	form	yes	"[""running"",""success"",""error""]"	{}	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
cloud	POST	/floating_ips/{id}/actions/assign	assign_floating_ip	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	POST	/floating_ips/{id}/actions/change_dns_ptr	change_floating_ip_dns_ptr	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	POST	/floating_ips/{id}/actions/change_protection	change_floating_ip_protection	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	POST	/floating_ips/{id}/actions/unassign	unassign_floating_ip	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/floating_ips/{id}/actions/{action_id}	get_floating_ip_action	path	action_id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	293372cabd5bfe7cbac6682fa699c26b1ef93d7bbbde99b04737977e5d12e702
cloud	GET	/floating_ips/{id}/actions/{action_id}	get_floating_ip_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/images	list_images	query	architecture	no	string			form	yes	"[""x86"",""arm""]"	{}	69d7c46e4cf66c5bd3ff8835fdfa959ecc0888e87e5667127b688464f56f7c83
cloud	GET	/images	list_images	query	bound_to	no	array		string	form	yes	[]	{}	2f6cb7a3107320924fd9d817f26a93d5c5eb103e67a25fa4adafa89a07630556
cloud	GET	/images	list_images	query	include_deprecated	no	boolean			form	yes	[]	{}	3ae2937bf513c4d3dd98c3ae966c02113234d6304639decc4c67393849dcf8a9
cloud	GET	/images	list_images	query	label_selector	no	string			form	yes	[]	{}	34409838baa32e96bfe5a5351a68ee5e9f443f670093da099bc1c087bea7b0db
cloud	GET	/images	list_images	query	name	no	string			form	yes	[]	{}	c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
cloud	GET	/images	list_images	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/images	list_images	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/images	list_images	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""name"",""name:asc"",""name:desc"",""created"",""created:asc"",""created:desc""]"	{}	07bff43e34756fb7d2447e01aee4be72ebaef5e830ff97adfa18ce8843cc18c4
cloud	GET	/images	list_images	query	status	no	array		string	form	yes	"[""available"",""creating"",""unavailable""]"	{}	01cb98988d67fa11264c4050cdccf1e3b94d3abea62169d78c64a148266e14fb
cloud	GET	/images	list_images	query	type	no	array		string	form	yes	"[""system"",""app"",""snapshot"",""backup""]"	{}	fdad66dfb8afea6dc64e53e0bab1a466d51511fe1138426e9cb9286a9aacde06
cloud	GET	/images/actions	list_images_actions	query	id	no	array		integer	form	yes	[]	{}	2d8b77ea2e81a340f3e827128f1d4484364ffd1af75bdb7c99ac15ed457769e9
cloud	GET	/images/actions	list_images_actions	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/images/actions	list_images_actions	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/images/actions	list_images_actions	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""command"",""command:asc"",""command:desc"",""status"",""status:asc"",""status:desc"",""started"",""started:asc"",""started:desc"",""finished"",""finished:asc"",""finished:desc""]"	{}	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
cloud	GET	/images/actions	list_images_actions	query	status	no	array		string	form	yes	"[""running"",""success"",""error""]"	{}	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
cloud	GET	/images/actions/{id}	get_images_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	DELETE	/images/{id}	delete_image	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/images/{id}	get_image	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	PUT	/images/{id}	update_image	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/images/{id}/actions	list_image_actions	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/images/{id}/actions	list_image_actions	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/images/{id}/actions	list_image_actions	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/images/{id}/actions	list_image_actions	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""command"",""command:asc"",""command:desc"",""status"",""status:asc"",""status:desc"",""started"",""started:asc"",""started:desc"",""finished"",""finished:asc"",""finished:desc""]"	{}	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
cloud	GET	/images/{id}/actions	list_image_actions	query	status	no	array		string	form	yes	"[""running"",""success"",""error""]"	{}	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
cloud	POST	/images/{id}/actions/change_protection	change_image_protection	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/images/{id}/actions/{action_id}	get_image_action	path	action_id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	293372cabd5bfe7cbac6682fa699c26b1ef93d7bbbde99b04737977e5d12e702
cloud	GET	/images/{id}/actions/{action_id}	get_image_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/isos	list_isos	query	architecture	no	string			form	yes	"[""x86"",""arm""]"	{}	69d7c46e4cf66c5bd3ff8835fdfa959ecc0888e87e5667127b688464f56f7c83
cloud	GET	/isos	list_isos	query	include_architecture_wildcard	no	boolean			form	yes	[]	{}	977dc8559f3429f95cf62f27c2cdee3f29fc2d7f83ad0dee953329e751dbacb3
cloud	GET	/isos	list_isos	query	name	no	string			form	yes	[]	{}	c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
cloud	GET	/isos	list_isos	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/isos	list_isos	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/isos/{id}	get_iso	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/load_balancer_types	list_load_balancer_types	query	name	no	string			form	yes	[]	{}	c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
