api	method	path	tag	operation_id	deprecated	pagination	sorting	action	fingerprint
cloud	POST	/zones/{id_or_name}/actions/import_zonefile	Zone Actions	import_zone_zonefile	no	no	no	starts-action	3750805a26291ac387d3924b3ed2400ffc398a675a8159cfb5e5a831ff3b7e5f
cloud	GET	/zones/{id_or_name}/actions/{action_id}	Zone Actions	get_zone_action	yes	no	no	resource-action-get	c1d94033f63e3a290c8e5a82782dba8366a361a56e673225fb2da5714836820d
cloud	GET	/zones/{id_or_name}/rrsets	Zone RRSets	list_zone_rrsets	no	yes	yes	none	919d531eb997283484d0e946c3581fe8a726d18e1eec5bfc932854531d88a4cd
cloud	POST	/zones/{id_or_name}/rrsets	Zone RRSets	create_zone_rrset	no	no	no	none	651a79d788b04511108cf58c9567ff28c9015d5bca1dcf96e5913e2368138ec2
cloud	DELETE	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}	Zone RRSets	delete_zone_rrset	no	no	no	none	d1baa7d3224407c224d7e6a55486f7e5564ffad1b881454d0daf8e603db65bac
cloud	GET	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}	Zone RRSets	get_zone_rrset	no	no	no	none	8f121550c1f246d27bea2a91b34a0151eecac2ac8b07c683bcdd26f00feb8167
cloud	PUT	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}	Zone RRSets	update_zone_rrset	no	no	no	none	fb488b421bc4ff8056956724560a0cc92f6a2386992646eaa28c6b69898dbd17
cloud	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/add_records	Zone RRSet Actions	add_zone_rrset_records	no	no	no	starts-action	623c13a862fd132df433709e8e3226f3d461adcf36a2bfdf3b36823f4383f5ce
cloud	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/change_protection	Zone RRSet Actions	change_zone_rrset_protection	no	no	no	starts-action	8c80cfd7a97abf0541b6b639d241ab363da190fec6e58e3b31d33e0ee0827a3d
cloud	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/change_ttl	Zone RRSet Actions	change_zone_rrset_ttl	no	no	no	starts-action	5f285d7127943ff4e6d700facccbdb0e4efcd5bed199260203ba8e5950dcd49e
cloud	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/remove_records	Zone RRSet Actions	remove_zone_rrset_records	no	no	no	starts-action	3211090d7cbde862ccf8c6e7b21b73bdc5f5d8d2ed3d01675aa9e68104991e97
cloud	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/set_records	Zone RRSet Actions	set_zone_rrset_records	no	no	no	starts-action	1b1ee39db87121c8c68b56c0bc879bbe4d944f27f2d0109db1dea72c2f42bf3f
cloud	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/update_records	Zone RRSet Actions	update_zone_rrset_records	no	no	no	starts-action	ad427c8674441cb3339b340e28d6eeb2b938f0cca6c2830591925ceb0f23c286
cloud	GET	/zones/{id_or_name}/zonefile	Zones	get_zone_zonefile	no	no	no	none	17a9740cd959c01f10f1a22ca8ebe268b6654eebcc423009468f62324266bebd
hetzner	GET	/storage_box_types	Storage Box Types	list_storage_box_types	no	yes	no	none	04ab653699958e7a16d2287c5e1ebc1104a50527aab10ad5574905c8cc3abf50
hetzner	GET	/storage_box_types/{id}	Storage Box Types	get_storage_box_type	no	no	no	none	1e66d8526a2e99d3b09dd9f788470120ed6c374b872147d279c8d15106a75547
hetzner	GET	/storage_boxes	Storage Boxes	list_storage_boxes	no	yes	yes	none	2073ad8d0bd9d14f388d1f2a21f43eaeef12d4e7a7f8ad92273794ecd8ca9735
hetzner	POST	/storage_boxes	Storage Boxes	create_storage_box	no	no	no	none	8aa7bbbdc884dcd88c54b866da21844b3329853f14bc94e1e37ab62d956e8790
hetzner	GET	/storage_boxes/actions	Storage Box Actions	list_storage_boxes_actions	no	yes	yes	action-list	bfdd175c83fc5c3b461964b265c9d2972f201a51d20896e0ea1ec96d9bf21d7c
hetzner	GET	/storage_boxes/actions/{id}	Storage Box Actions	get_storage_boxes_action	no	no	no	action-get	9cbd2b11d5aad7ffcf4903fa588d2212b1eecd2e3a00d046bde4a1871cb27eed
