operation_id	api	service	method	path	endpoint_policy	authentication	authentication_scope	query_policy	body_policy	request_headers	request_media	success_status	success_shape	success_root	success_required	success_body	success_media	success_body_max_bytes	error_body	error_media	error_body_max_bytes	pagination	quota	retry	streaming	permit_class	response_identity
change_primary_ip_protection	cloud	cloud	POST	/primary_ips/{id}/actions/change_protection	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
change_server_alias_ips	cloud	cloud	POST	/servers/{id}/actions/change_alias_ips	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
change_server_dns_ptr	cloud	cloud	POST	/servers/{id}/actions/change_dns_ptr	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
change_server_protection	cloud	cloud	POST	/servers/{id}/actions/change_protection	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
change_server_type	cloud	cloud	POST	/servers/{id}/actions/change_type	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
change_storage_box_protection	hetzner	storage	POST	/storage_boxes/{id}/actions/change_protection	console-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
change_storage_box_subaccount_home_directory	hetzner	storage	POST	/storage_boxes/{id}/subaccounts/{subaccount_id}/actions/change_home_directory	console-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
change_storage_box_type	hetzner	storage	POST	/storage_boxes/{id}/actions/change_type	console-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
change_volume_protection	cloud	cloud	POST	/volumes/{id}/actions/change_protection	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
change_zone_primary_nameservers	cloud	dns	POST	/zones/{id_or_name}/actions/change_primary_nameservers	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
change_zone_protection	cloud	dns	POST	/zones/{id_or_name}/actions/change_protection	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
change_zone_rrset_protection	cloud	dns	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/change_protection	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
